BU_NAAM;perc_groen;id;;;
Valkenberg;50;1;;;
Chassee;40;2;;;
Fellenoord;41;3;;;
Schorsmolen;32;4;;;
Station;36;5;;;
City;35;6;;;
Belcrum;25;7;;;
Doornbos-Linie;46;8;;;
Biesdonk;43;9;;;
Geeren-zuid;47;10;;;
Wisselaar;46;11;;;
Krogten;66;12;;;
Geeren-noord;52;13;;;
Waterdonken;45;14;;;
Brabantpark;46;15;;;
Sportpark;46;16;;;
Zandberg;42;17;;;
Heusdenhout;56;18;;;
Moleneind-oost;45;19;;;
Hoogeind;63;20;;;
Blauwe Kei;42;21;;;
Ypelaar;50;22;;;
Overakker;72;23;;;
Ginneken;58;24;;;
Mastbos;88;25;;;
Boeimeer;49;26;;;
Ruitersbos;72;27;;;
Haagpoort;31;28;;;
Heuvel;42;29;;;
Tuinzigt;34;30;;;
Princenhage;50;31;;;
Westerpark;42;32;;;
Heilaar;53;33;;;
Hazeldonk;68;34;;;
Steenakker;50;35;;;
Effen-Rith;80;36;;;
Liesbos;77;37;;;
Gageldonk;46;38;;;
Kievitsloop;47;39;;;
Kesteren;44;40;;;
Muizenberg;51;41;;;
Heksenwiel;47;42;;;
Overkroeten;38;43;;;
Kroeten;38;44;;;
Emer;51;45;;;
Hagebeemd;84;46;;;
Bavel;56;47;;;
Nieuw Wolfslaar;59;48;;;
Buitengebied Bavel;79;49;;;
Ulvenhout;63;50;;;
Buitengebied Ulvenhout;84;51;;;
Prinsenbeek;50;52;;;
Buitengebied Prinsenbeek;83;53;;;
Teteringen;58;54;;;
Vluchtpolder;88;55;;;
Buitengebied Teringen;87;56;;;
