municipalities_Brabant,total_surface,total_asphalted,total_builded,total_semibuilded,total_recreation,total_agriculture,total_forest_nature,total_land_surface,total_water_surface,total_households,total_population,dry_natural_land,wet_natural_land
Alphen-Chaam,9352,159,326,22,199,6552,2046,9304,48,3957,9753,101,72
Altena,22664,623,1376,430,350,15790,1493,20063,2602,20951,53762,33,578
Asten,7134,242,425,7,180,4598,1564,7017,117,6899,16559,324,299
Baarle-Nassau,7629,100,193,14,164,6273,870,7614,15,2874,6599,3,71
Bergeijk,10175,165,603,22,261,6168,2881,10100,75,7466,18209,160,26
Bergen op Zoom,9313,328,1545,269,387,3312,2154,7996,1317,29598,66320,63,793
Bernheze,9041,341,721,54,181,6612,1064,8973,68,11610,29729,75,4
Best,3510,215,737,44,184,1504,747,3430,80,11908,28737,68,7
Bladel,7562,173,634,72,218,4246,2191,7533,29,8242,19869,299,61
Boekel,3452,93,236,27,41,2920,133,3451,1,3809,10119,0,2
Boxmeer,11384,372,815,115,151,8089,1602,11144,240,11863,28342,10,27
Boxtel,6485,273,685,41,119,3553,1702,6373,112,13045,30337,224,202
Breda,12868,854,3648,250,616,5620,1585,12574,294,86599,180937,67,170
Cranendonck,7805,232,882,47,108,3713,2658,7640,165,8627,20542,591,147
Cuijk,5707,245,673,116,138,3685,260,5116,591,10580,24649,0,11
Deurne,11836,363,911,47,123,7505,2744,11693,142,13177,31765,314,540
Dongen,2974,86,643,44,99,2013,39,2924,50,10661,25395,0,0
Drimmelen,11943,289,585,68,102,6747,1728,9518,2425,11089,26703,0,997
Eersel,8333,209,553,66,294,5047,2078,8246,86,7576,18347,28,23
Eindhoven,8892,790,4396,435,901,1258,986,8766,126,113525,223209,35,43
Etten-Leur,5592,219,1082,51,146,3829,204,5530,62,17912,42503,9,27
Geertruidenberg,2964,132,726,45,116,1574,70,2663,301,9247,21574,0,35
Geldrop-Mierlo,3139,131,902,66,262,1040,700,3101,37,17105,38879,17,17
Gemert-Bakel,12334,281,752,126,258,7821,2976,12214,120,12250,29513,121,24
Gilze en Rijen,6566,282,704,43,292,3694,1523,6538,28,10864,26065,85,8
Goirle,4338,80,522,44,105,2454,1094,4299,38,9900,23080,186,105
Grave,2803,71,295,19,78,2041,214,2718,85,5157,12840,0,0
Haaren,5856,150,376,34,101,4165,944,5770,86,5372,13523,18,8
Halderberge,7521,327,793,88,172,5789,278,7447,75,12639,29484,11,0
Heeze-Leende,10504,171,522,17,156,4415,5120,10402,103,6406,15477,1776,281
Helmond,5475,241,2079,200,353,1496,949,5318,158,39199,89718,11,34
Heusden,8122,274,1092,80,217,4685,1540,7888,234,17995,43132,414,36
Hilvarenbeek,9651,186,393,41,356,5670,2838,9485,166,6136,15042,134,124
Laarbeek,5617,167,674,68,197,3854,575,5535,81,9011,21913,3,12
Landerd,7071,217,440,70,158,4543,1608,7035,35,6012,15290,65,0
Loon op Zand,5071,132,512,49,293,2248,1761,4994,77,9721,22960,209,22
Meierijstad,18552,674,2169,267,357,13326,1617,18409,143,32740,79234,0,20
Mill en Sint Hubert,5317,130,318,43,57,3832,842,5223,95,4416,10831,29,13
Moerdijk,18403,945,1923,547,311,11595,593,15915,2488,15738,36816,17,164
Nuenen c.a.,3394,124,596,34,142,1913,562,3371,23,9806,22620,5,18
Oirschot,10284,265,677,50,144,5804,3239,10178,106,7271,18079,569,146
Oisterwijk,6513,163,651,15,196,3625,1735,6384,128,10865,25732,139,121
Oosterhout,7309,320,1517,149,438,3320,1403,7147,162,23793,53793,46,0
Oss,17093,655,2248,357,518,11665,873,16316,777,38801,89799,44,24
Reusel-De Mierden,7866,129,307,31,157,4831,2332,7788,78,5186,12774,103,149
Roosendaal,10716,485,1941,148,291,7116,670,10650,66,34136,76874,5,0
Rucphen,6448,224,610,34,75,4217,1280,6441,6,9491,22233,80,1
s-Hertogenbosch,11807,699,2975,462,790,5482,617,11025,783,69868,150889,72,25
Sint Anthonis,9976,229,328,22,147,7762,1440,9927,49,4577,11612,190,3
Sint-Michielsgestel,5934,202,622,82,128,4386,417,5838,96,11551,28395,9,15
Someren,8150,259,481,29,151,5436,1671,8027,123,7664,18695,171,38
Son en Breugel,2651,120,650,89,74,1179,484,2595,56,6816,16344,19,9
Steenbergen,15914,457,655,150,111,12442,827,14643,1272,10454,23638,29,530
Tilburg,11813,609,4055,514,773,3769,1897,11617,196,103706,211582,113,87
Uden,6753,374,1061,135,225,4114,790,6700,53,17647,41089,60,9
Valkenswaard,5650,98,782,22,220,2475,1894,5492,159,13777,30234,218,118
Veldhoven,3189,114,1052,88,235,1218,463,3169,20,19256,44166,0,3
Vught,3444,162,698,93,221,1589,587,3350,94,10871,25853,10,0
Waalre,2266,53,443,5,41,860,836,2239,28,7271,16874,41,3
Waalwijk,6765,286,1425,209,196,4229,113,6458,307,20415,46713,0,29
Woensdrecht,9197,373,699,71,153,4246,3623,9166,31,9374,21644,323,71
Zundert,12121,248,427,42,201,9561,1586,12065,56,9201,21363,208,179
